Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
NEM,NEWMONT,Equity,2.47,57.31,"14,369,057.00","823,490,656.67","823,490,656.67",Materials,2636607,US6516391066,New York Stock Exchange Inc.
NEE,NEXTERA ENERGY INC,Equity,1.64,245.28,"2,231,944.00","547,451,224.32","547,451,224.32",Utilities,2328915,US65339F1012,New York Stock Exchange Inc.
PEP,PEPSICO INC,Equity,1.62,133.63,"4,045,703.00","540,627,291.89","540,627,291.89",Consumer Staples,2681511,US7134481081,NASDAQ
VZ,VERIZON COMMUNICATIONS INC,Equity,1.56,57.44,"9,090,233.00","522,142,983.52","522,142,983.52",Communication,2090571,US92343V1044,New York Stock Exchange Inc.
V,VISA INC CLASS A,Equity,1.56,173.69,"3,000,907.00","521,227,536.83","521,227,536.83",Information Technology,B2PZN04,US92826C8394,New York Stock Exchange Inc.
MCD,MCDONALDS CORP,Equity,1.53,183.7,"2,780,477.00","510,773,624.90","510,773,624.90",Consumer Discretionary,2550707,US5801351017,New York Stock Exchange Inc.
KO,COCA-COLA,Equity,1.51,49,"10,249,163.00","502,208,987.00","502,208,987.00",Consumer Staples,2206657,US1912161007,New York Stock Exchange Inc.
RSG,REPUBLIC SERVICES INC,Equity,1.46,81.82,"5,950,017.00","486,830,390.94","486,830,390.94",Industrials,2262530,US7607591002,New York Stock Exchange Inc.
WM,WASTE MANAGEMENT INC,Equity,1.41,99.85,"4,697,677.00","469,063,048.45","469,063,048.45",Industrials,2937667,US94106L1098,New York Stock Exchange Inc.
JNJ,JOHNSON & JOHNSON,Equity,1.38,141.23,"3,262,912.00","460,821,061.76","460,821,061.76",Health Care,2475833,US4781601046,New York Stock Exchange Inc.
CTXS,CITRIX SYSTEMS INC,Equity,1.33,139.4,"3,192,365.00","445,015,681.00","445,015,681.00",Information Technology,2182553,US1773761002,NASDAQ
MSFT,MICROSOFT CORP,Equity,1.29,165.14,"2,609,313.00","430,901,948.82","430,901,948.82",Information Technology,2588173,US5949181045,NASDAQ
HSY,HERSHEY FOODS,Equity,1.28,143.91,"2,965,930.00","426,826,986.30","426,826,986.30",Consumer Staples,2422806,US4278661081,New York Stock Exchange Inc.
MRK,MERCK & CO INC,Equity,1.22,82.49,"4,954,043.00","408,659,007.07","408,659,007.07",Health Care,2778844,US58933Y1055,New York Stock Exchange Inc.
LLY,ELI LILLY,Equity,1.22,145.73,"2,791,594.00","406,818,993.62","406,818,993.62",Health Care,2516152,US5324571083,New York Stock Exchange Inc.
ED,CONSOLIDATED EDISON INC,Equity,1.22,87.94,"4,611,649.00","405,548,413.06","405,548,413.06",Utilities,2216850,US2091151041,New York Stock Exchange Inc.
PG,PROCTER & GAMBLE,Equity,1.2,114.66,"3,490,845.00","400,260,287.70","400,260,287.70",Consumer Staples,2704407,US7427181091,New York Stock Exchange Inc.
MDT,MEDTRONIC PLC,Equity,1.17,101.03,"3,854,079.00","389,377,601.37","389,377,601.37",Health Care,BTN1Y11,IE00BTN1Y115,New York Stock Exchange Inc.
YUM,YUM BRANDS INC,Equity,1.17,80.37,"4,838,671.00","388,883,988.27","388,883,988.27",Consumer Discretionary,2098876,US9884981013,New York Stock Exchange Inc.
ACN,ACCENTURE PLC CLASS A,Equity,1.16,177.92,"2,177,111.00","387,351,589.12","387,351,589.12",Information Technology,B4BNMY3,IE00B4BNMY34,New York Stock Exchange Inc.
XEL,XCEL ENERGY INC,Equity,1.15,66.27,"5,779,935.00","383,036,292.45","383,036,292.45",Utilities,2614807,US98389B1008,NASDAQ
SO,SOUTHERN,Equity,1.15,60.33,"6,342,311.00","382,631,622.63","382,631,622.63",Utilities,2829601,US8425871071,New York Stock Exchange Inc.
WCN,WASTE CONNECTIONS INC,Equity,1.14,87.46,"4,349,011.00","380,364,502.06","380,364,502.06",Industrials,BYVG1F6,CA94106B1013,New York Stock Exchange Inc.
DUK,DUKE ENERGY CORP,Equity,1.11,90.31,"4,085,560.00","368,966,923.60","368,966,923.60",Utilities,B7VD3F2,US26441C2044,New York Stock Exchange Inc.
FIS,FIDELITY NATIONAL INFORMATION SERV,Equity,1.03,125.12,"2,756,271.00","344,864,627.52","344,864,627.52",Information Technology,2769796,US31620M1062,New York Stock Exchange Inc.
JKHY,JACK HENRY AND ASSOCIATES INC,Equity,1.02,170.16,"1,997,288.00","339,858,526.08","339,858,526.08",Information Technology,2469193,US4262811015,NASDAQ
HRL,HORMEL FOODS CORP,Equity,0.98,47.54,"6,863,884.00","326,309,045.36","326,309,045.36",Consumer Staples,2437264,US4404521001,New York Stock Exchange Inc.
T,AT&T INC,Equity,0.97,30.73,"10,509,104.00","322,944,765.92","322,944,765.92",Communication,2831811,US00206R1023,New York Stock Exchange Inc.
AMT,AMERICAN TOWER REIT CORP,Equity,0.96,259.6,"1,238,644.00","321,551,982.40","321,551,982.40",Real Estate,B7FBFL2,US03027X1000,New York Stock Exchange Inc.
PAYX,PAYCHEX INC,Equity,0.95,66.54,"4,752,744.00","316,247,585.76","316,247,585.76",Information Technology,2674458,US7043261079,NASDAQ
PSA,PUBLIC STORAGE REIT,Equity,0.94,208.59,"1,506,730.00","314,288,810.70","314,288,810.70",Real Estate,2852533,US74460D1090,New York Stock Exchange Inc.
TMUS,T MOBILE US INC,Equity,0.94,85.9,"3,655,655.00","314,020,764.50","314,020,764.50",Communication,B94Q9V0,US8725901040,NASDAQ
PFE,PFIZER INC,Equity,0.93,35.39,"8,762,282.00","310,097,159.98","310,097,159.98",Health Care,2684703,US7170811035,New York Stock Exchange Inc.
MSI,MOTOROLA SOLUTIONS INC,Equity,0.9,152.89,"1,960,462.00","299,735,035.18","299,735,035.18",Information Technology,B5BKPQ4,US6200763075,New York Stock Exchange Inc.
CB,CHUBB LTD,Equity,0.88,122.27,"2,402,338.00","293,733,867.26","293,733,867.26",Financials,B3BQMF6,CH0044328745,New York Stock Exchange Inc.
MA,MASTERCARD INC CLASS A,Equity,0.85,269.4,"1,048,435.00","282,448,389.00","282,448,389.00",Information Technology,B121557,US57636Q1040,New York Stock Exchange Inc.
FISV,FISERV INC,Equity,0.82,99.22,"2,753,557.00","273,207,925.54","273,207,925.54",Information Technology,2342034,US3377381088,NASDAQ
AON,Aon plc,Equity,0.81,192.05,"1,406,472.00","270,112,947.60","270,112,947.60",Financials,BLP1HW5,IE00BLP1HW54,New York Stock Exchange Inc.
WEC,WEC ENERGY GROUP INC,Equity,0.79,98.22,"2,696,059.00","264,806,914.98","264,806,914.98",Utilities,BYY8XK8,US92939U1060,New York Stock Exchange Inc.
DHR,DANAHER CORP,Equity,0.78,145.73,"1,783,614.00","259,926,068.22","259,926,068.22",Health Care,2250870,US2358511028,New York Stock Exchange Inc.
AVB,AVALONBAY COMMUNITIES REIT INC,Equity,0.77,167.36,"1,536,592.00","257,164,037.12","257,164,037.12",Real Estate,2131179,US0534841012,New York Stock Exchange Inc.
LMT,LOCKHEED MARTIN CORP,Equity,0.76,371,"684,548.00","253,967,308.00","253,967,308.00",Industrials,2522096,US5398301094,New York Stock Exchange Inc.
BKI,BLACK KNIGHT INC,Equity,0.75,63.48,"3,963,704.00","251,615,929.92","251,615,929.92",Information Technology,BDG75V1,US09215C1053,New York Stock Exchange Inc.
CME,CME GROUP INC CLASS A,Equity,0.75,190.16,"1,310,850.00","249,271,236.00","249,271,236.00",Financials,2965839,US12572Q1058,NASDAQ
WMT,WALMART INC,Equity,0.74,121.8,"2,022,880.00","246,386,784.00","246,386,784.00",Consumer Staples,2936921,US9311421039,New York Stock Exchange Inc.
EQR,EQUITY RESIDENTIAL REIT,Equity,0.72,69.42,"3,458,185.00","240,067,202.70","240,067,202.70",Real Estate,2319157,US29476L1070,New York Stock Exchange Inc.
BAX,BAXTER INTERNATIONAL INC,Equity,0.71,86.89,"2,715,129.00","235,917,558.81","235,917,558.81",Health Care,2085102,US0718131099,New York Stock Exchange Inc.
CVX,CHEVRON CORP,Equity,0.71,84.31,"2,796,990.00","235,814,226.90","235,814,226.90",Energy,2838555,US1667641005,New York Stock Exchange Inc.
MMC,MARSH & MCLENNAN INC,Equity,0.71,96.61,"2,439,872.00","235,716,033.92","235,716,033.92",Financials,2567741,US5717481023,New York Stock Exchange Inc.
